Month_Index,Date,Philippines PSE PSEi - Close
122,7/31/12,5307.66
123,8/31/12,5196.19
124,9/28/12,5346.1
125,10/31/12,5424.51
126,11/29/12,5640.45
127,12/28/12,5812.73
128,1/31/13,6242.74
129,2/28/13,6721.45
130,3/27/13,6847.47
131,4/30/13,7070.99
132,5/31/13,7021.95
133,6/28/13,6465.28
134,7/31/13,6639.12
135,8/30/13,6075.17
136,9/30/13,6191.8
137,10/31/13,6585.38
138,11/29/13,6208.82
139,12/27/13,5889.83
140,1/30/14,6041.19
141,2/28/14,6424.99
142,3/31/14,6428.71
143,4/30/14,6707.91
144,5/30/14,6647.65
145,6/30/14,6844.31
146,7/31/14,6864.82
147,8/29/14,7050.89
148,9/30/14,7283.07
149,10/31/14,7215.73
150,11/28/14,7294.38
151,12/29/14,7230.57
152,1/30/15,7689.91
153,2/27/15,7730.57
154,3/31/15,7940.49
155,4/30/15,7714.82
156,5/29/15,7580.46
157,6/30/15,7564.5
158,7/31/15,7550
159,8/28/15,7098.81
160,9/30/15,6893.98
161,10/30/15,7134.26
162,11/27/15,6927.07
163,12/29/15,6952.08
164,1/29/16,6687.62
165,2/29/16,6671.04
166,3/31/16,7262.3
167,4/29/16,7159.29
168,5/31/16,7401.6
169,6/30/16,7796.25
170,7/29/16,7963.11
171,8/31/16,7787.37
172,9/30/16,7629.73
173,10/28/16,7404.8
174,11/29/16,6781.2
175,12/29/16,6840.64
176,1/31/17,7229.66
177,2/28/17,7212.09
178,3/31/17,7311.72
179,4/27/17,7661.01
180,5/31/17,7837.12
181,6/30/17,7843.16
182,7/31/17,8018.05
183,8/31/17,7958.57
184,9/29/17,8171.43
185,10/30/17,8365.26
186,11/29/17,8254.03
187,12/29/17,8558.42
188,1/31/18,8764.01
189,2/28/18,8475.29
190,3/28/18,7979.83
191,4/30/18,7819.25
192,5/31/18,7497.17
193,6/29/18,7193.68
194,7/31/18,7672
195,8/31/18,7855.71
196,9/28/18,7276.82
197,10/31/18,7140.29
198,11/29/18,7367.85
199,12/28/18,7466.02
200,1/31/19,8007.48
201,2/28/19,7705.49
202,3/29/19,7920.93
203,4/30/19,7952.72
204,5/31/19,7970.02
205,6/28/19,7999.71
206,7/31/19,8045.8
207,8/30/19,7979.66
208,9/30/19,7779.07
209,10/31/19,7977.12
210,11/29/19,7738.96
211,12/27/19,7815.26
212,1/31/20,7200.79
213,2/28/20,6787.91
214,3/31/20,5321.23
215,4/30/20,5700.71
216,5/29/20,5838.84
217,6/30/20,6207.72
218,7/30/20,5928.45
219,8/28/20,5884.18
220,9/30/20,5864.23
221,10/30/20,6324
222,11/27/20,6791.46
223,12/29/20,7139.71
224,1/29/21,6612.62
225,2/26/21,6794.86
226,3/31/21,6443.09
227,4/30/21,6370.87
228,5/31/21,6628.49
229,6/30/21,6901.91
230,7/30/21,6270.23
231,8/31/21,6855.44
232,9/30/21,6952.88
233,10/29/21,7054.7
234,11/29/21,7200.88
235,12/31/21,7122.63
236,1/31/22,7361.65
237,2/28/22,7311.01
238,3/31/22,7203.47
239,4/29/22,6731.25
240,5/31/22,6774.68
241,6/30/22,6155.43
,,